timestamp,reconstruction_error,actual_fault,predicted_fault
633,0.38502472666004417,0,0
634,0.3823839193526739,0,0
635,0.37773354251716657,0,0
636,0.36641592492780173,0,0
637,0.36111070988680777,0,0
638,0.35305829096361485,0,0
639,0.3478751885224019,0,0
640,0.3518794872905824,0,0
641,0.3510548741701506,0,0
642,0.3566636861362169,0,0
643,0.3562161391553602,0,0
644,0.3632514825023919,0,0
645,0.3655520530899222,0,0
646,0.37066938599485555,0,0
647,0.3792746258490604,0,0
648,0.39056978503735407,0,0
649,0.3863815730036331,0,0
650,0.38481595935876467,0,0
651,0.3880910781232681,0,0
652,0.3936527598869535,0,0
653,0.39509456633924794,0,0
654,0.4002160556748261,0,0
655,0.3960415102698474,0,0
656,0.397641691323475,0,0
657,0.3967503955761047,0,0
658,0.3937230478655793,0,0
659,0.38936634601211473,1,0
660,0.4073228358885819,0,0
661,0.4229989064936332,0,0
662,0.43080277144852636,0,0
663,0.4486526089208273,0,0
664,0.45755441489890514,0,0
665,0.45541185443597376,0,0
666,0.4531047875148673,0,0
667,0.45088090069853276,0,0
668,0.44943414503499546,0,0
669,0.4500086334275424,0,0
670,0.4503570701097557,0,0
671,0.453001107741687,0,0
672,0.4559027961730137,0,0
673,0.4637174185572509,0,0
674,0.4666649164372229,0,0
675,0.4718099424824679,0,0
676,0.4795764584111629,0,0
677,0.4841591282283408,0,1
678,0.4872405175296944,0,1
679,0.48498624078985525,0,1
680,0.4864641665088734,0,1
681,0.48639925980360066,0,1
682,0.47957713715494055,0,0
683,0.47551345248051236,0,0
684,0.46966126727492474,0,0
685,0.4706240245635011,0,0
686,0.47092366103342526,0,0
687,0.47193709949286183,0,0
688,0.4699078216137992,0,0
689,0.4662306261089427,0,0
690,0.4351295756371148,0,0
691,0.43257771893673425,0,0
692,0.43202865185408407,0,0
693,0.4240010985792936,0,0
694,0.413418989061764,0,0
695,0.4086821867553965,0,0
696,0.40655933028483476,0,0
697,0.40183594141752293,0,0
698,0.39609623138933553,0,0
699,0.3950994129399709,0,0
700,0.39128032809997143,0,0
701,0.3905891219394831,0,0
702,0.3837849460520849,0,0
703,0.381625173279996,0,0
704,0.379178666253127,0,0
